trade_date,prefix,close
20260224,IF,4707.544
20260213,IF,4660.4056
20260212,IF,4719.578
20260211,IF,4713.8185
20260210,IF,4724.2956
20260209,IF,4719.0559
20260206,IF,4643.5959
20260205,IF,4670.4188
20260204,IF,4698.6832
20260203,IF,4660.1074
20260202,IF,4605.9799
20260130,IF,4706.3401
20260129,IF,4753.8697
20260128,IF,4717.9914
20260127,IF,4705.6918
20260126,IF,4706.964
20260123,IF,4702.4966
20260122,IF,4723.7091
20260121,IF,4723.0692
20260120,IF,4718.8782
20260119,IF,4734.4556
20260116,IF,4731.8728
20260115,IF,4751.4293
20260114,IF,4741.9306
20260113,IF,4761.0324
20260112,IF,4789.9155
20260109,IF,4758.9221
20260108,IF,4737.6536
20260107,IF,4776.6658
20260106,IF,4790.6938
20260105,IF,4717.7457
20251231,IF,4629.9395
20251230,IF,4651.2818
20251229,IF,4639.3721
20251226,IF,4657.24
20251225,IF,4642.5357
20251224,IF,4634.0586
20251223,IF,4620.7341
20251222,IF,4611.6235
20251219,IF,4568.1781
20251218,IF,4552.7926
20251217,IF,4579.875
20251216,IF,4497.5545
20251215,IF,4552.0596
20251212,IF,4580.95
20251211,IF,4552.1848
20251210,IF,4591.8273
20251209,IF,4598.2232
20251208,IF,4621.7545
20251205,IF,4584.5368
20251204,IF,4546.5664
20251203,IF,4531.0486
20251202,IF,4554.3347
20251201,IF,4576.4856
20251128,IF,4526.6616
20251127,IF,4515.4027
20251126,IF,4517.6255
20251125,IF,4490.4047
20251124,IF,4448.0478
20251121,IF,4453.6076
20251120,IF,4564.9483
20251119,IF,4588.2922
20251118,IF,4568.1928
20251117,IF,4598.0525
20251114,IF,4628.1398
20251113,IF,4702.0738
20251112,IF,4645.9079
20251111,IF,4652.1655
20251110,IF,4695.0507
20251107,IF,4678.7944
20251106,IF,4693.4032
20251105,IF,4627.257
20251104,IF,4618.699
20251103,IF,4653.4028
20251031,IF,4640.6676
20251030,IF,4709.911
20251029,IF,4747.8378
20251028,IF,4691.973
20251027,IF,4716.0186
20251024,IF,4660.6835
20251023,IF,4606.3447
20251022,IF,4592.57
20251021,IF,4607.8715
20251020,IF,4538.2201
20251017,IF,4514.2345
20251016,IF,4618.4218
20251015,IF,4606.2879
20251014,IF,4539.0644
20251013,IF,4593.9785
20251010,IF,4616.8341
20251009,IF,4709.482
20250930,IF,4640.6935
20250929,IF,4620.0528
20250926,IF,4550.0487
20250925,IF,4593.4875
20250924,IF,4566.0708
20250923,IF,4519.7781
20250922,IF,4522.608
20250919,IF,4501.9195
20250918,IF,4498.109
20260224,IH,3041.3242
20260213,IH,3034.3459
20260212,IH,3079.7273
20260211,IH,3088.4571
20260210,IH,3087.405
20260209,IH,3081.7791
20260206,IH,3037.8602
20260205,IH,3059.012
20260204,IH,3069.2432
20260203,IH,3034.5803
20260202,IH,3003.1373
20260130,IH,3066.4963
20260129,IH,3110.9135
20260128,IH,3060.557
20260127,IH,3052.3932
20260126,IH,3049.5871
20260123,IH,3032.193
20260122,IH,3053.1277
20260121,IH,3067.1753
20260120,IH,3070.646
20260119,IH,3075.9357
20260116,IH,3079.7631
20260115,IH,3105.5751
20260114,IH,3112.0745
20260113,IH,3132.9328
20260112,IH,3143.7371
20260109,IH,3134.3245
20260108,IH,3122.0627
20260107,IH,3145.1197
20260106,IH,3158.7632
20260105,IH,3099.7462
20251231,IH,3031.1258
20251230,IH,3036.5523
20251229,IH,3034.6347
20251226,IH,3045.4036
20251225,IH,3032.8414
20251224,IH,3025.1839
20251223,IH,3027.5195
20251222,IH,3020.2285
20251219,IH,3004.3401
20251218,IH,2998.517
20251217,IH,2991.6777
20251216,IH,2954.7872
20251215,IH,2987.0684
20251212,IH,2994.6446
20251211,IH,2977.0319
20251210,IH,2988.6375
20251209,IH,2997.9603
20251208,IH,3019.362
20251205,IH,3002.0087
20251204,IH,2974.3371
20251203,IH,2963.0763
20251202,IH,2978.4671
20251201,IH,2993.6761
20251128,IH,2969.6171
20251127,IH,2972.2651
20251126,IH,2971.7985
20251125,IH,2968.2023
20251124,IH,2950.562
20251121,IH,2955.8541
20251120,IH,3008.2904
20251119,IH,3020.3487
20251118,IH,3003.0175
20251117,IH,3012.0714
20251114,IH,3038.4255
20251113,IH,3073.6656
20251112,IH,3044.3011
20251111,IH,3034.6329
20251110,IH,3053.857
20251107,IH,3038.3455
20251106,IH,3044.7416
20251105,IH,3007.97
20251104,IH,3012.9691
20251103,IH,3016.3507
20251031,IH,3011.5547
20251030,IH,3046.6108
20251029,IH,3063.021
20251028,IH,3050.4162
20251027,IH,3069.5293
20251024,IH,3045.8161
20251023,IH,3026.9044
20251022,IH,3010.0951
20251021,IH,3007.2634
20251020,IH,2974.8648
20251017,IH,2967.7748
20251016,IH,3019.1966
20251015,IH,3001.3489
20251014,IH,2961.101
20251013,IH,2967.206
20251010,IH,2974.8535
20251009,IH,3020.5964
20250930,IH,2988.9386
20250929,IH,2973.0417
20250926,IH,2941.0184
20250925,IH,2952.7352
20250924,IH,2939.5078
20250923,IH,2919.5148
20250922,IH,2922.1795
20250919,IH,2909.7442
20250918,IH,2912.8256
20260224,IC,8392.9098
20260213,IC,8299.585
20260212,IC,8423.5695
20260211,IC,8325.8107
20260210,IC,8306.4448
20260209,IC,8311.2829
20260206,IC,8146.4128
20260205,IC,8146.1073
20260204,IC,8299.0574
20260203,IC,8286.7005
20260202,IC,8037.0456
20260130,IC,8370.5203
20260129,IC,8517.8429
20260128,IC,8601.1644
20260127,IC,8548.9321
20260126,IC,8506.6932
20260123,IC,8590.1659
20260122,IC,8387.595
20260121,IC,8340.1133
20260120,IC,8247.8049
20260119,IC,8287.947
20260116,IC,8232.674
20260115,IC,8223.2683
20260114,IC,8227.697
20260113,IC,8143.28
20260112,IC,8249.1275
20260109,IC,8056.6858
20260108,IC,7894.5447
20260107,IC,7875.0822
20260106,IC,7814.1356
20260105,IC,7651.1981
20251231,IC,7465.5742
20251230,IC,7458.936
20251229,IC,7430.6147
20251226,IC,7458.8386
20251225,IC,7410.7119
20251224,IC,7352.0396
20251223,IC,7256.7864
20251222,IC,7255.6607
20251219,IC,7169.5511
20251218,IC,7100.8359
20251217,IC,7137.8339
20251216,IC,7001.3188
20251215,IC,7113.962
20251212,IC,7169.791
20251211,IC,7082.8932
20251210,IC,7155.9944
20251209,IC,7121.3256
20251208,IC,7172.3671
20251205,IC,7097.8389
20251204,IC,7012.8061
20251203,IC,6996.3552
20251202,IC,7040.3008
20251201,IC,7101.8323
20251128,IC,7031.5505
20251127,IC,6951.2844
20251126,IC,6965.0453
20251125,IC,6954.6034
20251124,IC,6868.9664
20251121,IC,6817.4103
20251120,IC,7061.9497
20251119,IC,7122.7465
20251118,IC,7151.0176
20251117,IC,7235.3512
20251114,IC,7235.4617
20251113,IC,7355.2911
20251112,IC,7243.2483
20251111,IC,7291.6084
20251110,IC,7343.8017
20251107,IC,7327.9108
20251106,IC,7345.723
20251105,IC,7229.341
20251104,IC,7210.8253
20251103,IC,7333.6013
20251031,IC,7331.0031
20251030,IC,7385.7109
20251029,IC,7480.9666
20251028,IC,7341.0304
20251027,IC,7379.3941
20251024,IC,7258.5343
20251023,IC,7142.9536
20251022,IC,7128.4776
20251021,IC,7185.624
20251020,IC,7069.6412
20251017,IC,7016.0661
20251016,IC,7231.5336
20251015,IC,7294.0014
20251014,IC,7194.8509
20251013,IC,7376.5636
20251010,IC,7398.2241
20251009,IC,7548.9226
20250930,IC,7412.3684
20250929,IC,7350.5599
20250926,IC,7240.9114
20250925,IC,7341.3238
20250924,IC,7323.7093
20250923,IC,7180.7137
20250922,IC,7225.1281
20250919,IC,7170.3488
20250918,IC,7199.8828
20260224,IM,8299.7705
20260213,IM,8204.8294
20260212,IM,8314.8322
20260211,IM,8239.513
20260210,IM,8250.3001
20260209,IM,8233.7783
20260206,IM,8051.5742
20260205,IM,8068.0767
20260204,IM,8207.1203
20260203,IM,8209.101
20260202,IM,7975.4283
20260130,IM,8254.8603
20260129,IM,8332.2067
20260128,IM,8399.7938
20260127,IM,8382.1533
20260126,IM,8365.4345
20260123,IM,8470.7438
20260122,IM,8309.3456
20260121,IM,8247.6798
20260120,IM,8182.7522
20260119,IM,8265.6462
20260116,IM,8232.7293
20260115,IM,8240.7751
20260114,IM,8257.1716
20260113,IM,8203.1327
20260112,IM,8357.0107
20260109,IM,8129.1831
20260108,IM,7971.5887
20260107,IM,7906.4197
20260106,IM,7864.9034
20260105,IM,7753.88
20251231,IM,7595.2845
20251230,IM,7597.299
20251229,IM,7594.1575
20251226,IM,7605.5299
20251225,IM,7579.3791
20251224,IM,7506.3814
20251223,IM,7392.4204
20251222,IM,7408.3488
20251219,IM,7329.8057
20251218,IM,7272.4024
20251217,IM,7288.7384
20251216,IM,7181.62
20251215,IM,7309.0775
20251212,IM,7370.9416
20251211,IM,7311.9952
20251210,IM,7408.2441
20251209,IM,7380.5835
20251208,IM,7423.0462
20251205,IM,7342.4924
20251204,IM,7248.6573
20251203,IM,7248.274
20251202,IM,7313.178
20251201,IM,7386.6811
20251128,IM,7334.2097
20251127,IM,7257.454
20251126,IM,7248.4489
20251125,IM,7249.9471
20251124,IM,7156.4085
20251121,IM,7067.703
20251120,IM,7340.4118
20251119,IM,7387.2084
20251118,IM,7448.1007
20251117,IM,7523.0758
20251114,IM,7502.7567
20251113,IM,7590.5763
20251112,IM,7486.3766
20251111,IM,7540.791
20251110,IM,7563.2535
20251107,IM,7541.878
20251106,IM,7551.8299
20251105,IM,7464.8632
20251104,IM,7435.7308
20251103,IM,7538.1178
20251031,IM,7506.6746
20251030,IM,7485.0848
20251029,IM,7569.117
20251028,IM,7479.221
20251027,IM,7495.3831
20251024,IM,7419.2352
20251023,IM,7308.0992
20251022,IM,7312.21
20251021,IM,7344.0468
20251020,IM,7239.1845
20251017,IM,7185.4781
20251016,IM,7401.8375
20251015,IM,7483.449
20251014,IM,7373.1522
20251013,IM,7519.7636
20251010,IM,7533.8201
20251009,IM,7648.0523
20250930,IM,7574.9631
20250929,IM,7497.8308
20250926,IM,7397.5894
20250925,IM,7506.5124
20250924,IM,7534.2223
20250923,IM,7408.0691
20250922,IM,7489.4784
20250919,IM,7438.1887
20250918,IM,7476.402
