date,fund_return,index_return,beta,beta_contribution,pca_friendly,avg_vol,vol_quantile,env_type,vol_regime,pca_contribution,vol_contribution,env_contribution,manager_alpha,cum_fund,cum_beta,cum_pca,cum_vol,cum_env,cum_alpha
20250103,0.015974,-0.005692,1.0,-0.005692,,,,—,—,0.0,0.0,0.0,0.021666,1.5974,-0.5692,0.0,0.0,0.0,2.1666
20250106,0.00148823,-0.00348785,-6.572054,0.02292236,,,,—,—,0.0,0.0,0.0,-0.02143413,1.7462,1.723,0.0,0.0,0.0,0.0232
20250107,-0.00204425,0.00052884,-2.650423,-0.00140166,,,,—,—,0.0,0.0,0.0,-0.00064259,1.5418,1.5829,0.0,0.0,0.0,-0.0411
20250108,0.00493399,-0.00016543,-2.089503,0.00034566,,,,—,—,0.0,0.0,0.0,0.00458833,2.0352,1.6174,0.0,0.0,0.0,0.4178
20250109,-0.00037044,0.00071429,-2.043205,-0.00145943,,,,—,—,0.0,0.0,0.0,0.00108899,1.9982,1.4715,0.0,0.0,0.0,0.5267
20250110,-9.313e-05,0.00529888,-1.240173,-0.00657153,,,,—,—,0.0,0.0,0.0,0.0064784,1.9888,0.8143,0.0,0.0,0.0,1.1745
20250113,-0.00305801,0.0235187,-0.390065,-0.00917382,,,,—,—,0.0,0.0,0.0,0.00611581,1.683,-0.103,0.0,0.0,0.0,1.7861
20250114,-0.00501955,0.00121887,-0.368337,-0.00044896,,,,—,—,0.0,0.0,0.0,-0.00457059,1.1811,-0.1479,0.0,0.0,0.0,1.329
20250115,-0.00280216,0.00391443,-0.375382,-0.00146941,,,,—,—,0.0,0.0,0.0,-0.00133275,0.9009,-0.2949,0.0,0.0,0.0,1.1957
20250116,0.00187336,0.00842708,-0.350611,-0.00295462,,,,—,—,0.0,0.0,0.0,0.00482798,1.0882,-0.5903,0.0,0.0,0.0,1.6785
20250117,0.00261878,0.00310873,-0.351299,-0.0010921,,,,—,—,0.0,0.0,0.0,0.00371088,1.3501,-0.6996,0.0,0.0,0.0,2.0496
20250120,-0.00447691,-0.00785279,-0.211623,0.00166183,,,,—,—,0.0,0.0,0.0,-0.00613874,0.9024,-0.5334,0.0,0.0,0.0,1.4358
20250121,-9.416e-05,0.00289926,-0.21205,-0.00061479,,,,—,—,0.0,0.0,0.0,0.00052063,0.893,-0.5948,0.0,0.0,0.0,1.4878
20250122,0.00037471,-0.00389422,-0.198885,0.0007745,,,,—,—,0.0,0.0,0.0,-0.00039979,0.9304,-0.5174,0.0,0.0,0.0,1.4478
20250123,-0.00318381,-0.00763026,-0.136765,0.00104355,,,,—,—,0.0,0.0,0.0,-0.00422736,0.6121,-0.413,0.0,0.0,0.0,1.0251
20250124,-0.00563743,0.00359365,-0.15082,-0.000542,,,,—,—,0.0,0.0,0.0,-0.00509543,0.0483,-0.4672,0.0,0.0,0.0,0.5156
20250127,-0.00170152,-0.00024601,-0.146866,3.613e-05,,,,—,—,0.0,0.0,0.0,-0.00173765,-0.1218,-0.4636,0.0,0.0,0.0,0.3418
20250205,0.00463858,0.00252318,-0.14091,-0.00035554,,,,—,—,0.0,0.0,0.0,0.00499412,0.342,-0.4992,0.0,0.0,0.0,0.8412
20250206,0.00301431,0.00530346,-0.126792,-0.00067244,,,,—,—,0.0,0.0,0.0,0.00368675,0.6435,-0.5664,0.0,0.0,0.0,1.2099
20250207,0.00563584,0.00779744,-0.087477,-0.0006821,,,,—,—,0.0,0.0,0.0,0.00631794,1.207,-0.6346,0.0,0.0,0.0,1.8417
20250210,0.00084098,0.00187275,-0.087506,-0.00016388,,,,—,—,0.0,0.0,0.0,0.00100486,1.2911,-0.651,0.0,0.0,0.0,1.9422
20250211,0.00027943,-0.00292094,-0.083607,0.00024421,,,,—,—,0.0,0.0,0.0,3.522e-05,1.3191,-0.6266,0.0,0.0,0.0,1.9457
20250212,0.00410545,0.00224813,-0.081825,-0.00018395,,,,—,—,0.0,0.0,0.0,0.0042894,1.7296,-0.645,0.0,0.0,0.0,2.3746
20250213,-0.00668992,-0.01610972,0.042717,-0.00068815,,,,—,—,0.0,0.0,0.0,-0.00600177,1.0606,-0.7138,0.0,0.0,0.0,1.7745
20250214,-0.00056117,0.00631244,0.037756,0.00023833,,,,—,—,0.0,0.0,0.0,-0.0007995,1.0045,-0.69,0.0,0.0,0.0,1.6945
20250217,-0.00028124,-0.0055125,0.0399,-0.00021995,,,,—,—,0.0,0.0,0.0,-6.129e-05,0.9764,-0.712,0.0,0.0,0.0,1.6884
20250218,-0.00196623,0.00389301,0.034638,0.00013485,,,,—,—,0.0,0.0,0.0,-0.00210108,0.7798,-0.6985,0.0,0.0,0.0,1.4783
20250219,0.0050657,0.00399157,0.044573,0.00017791,,,,—,—,0.0,0.0,0.0,0.00488779,1.2863,-0.6807,0.0,0.0,0.0,1.967
20250220,0.00830778,0.00890928,0.085318,0.00076012,,,,—,—,0.0,0.0,0.0,0.00754766,2.1171,-0.6047,0.0,0.0,0.0,2.7218
20250221,0.01101483,-0.00374016,0.046651,-0.00017448,,,,—,—,0.0,0.0,0.0,0.01118931,3.2186,-0.6221,0.0,0.0,0.0,3.8407
20250224,-0.00073233,-0.00794831,0.054958,-0.00043682,,,,—,—,0.0,0.0,0.0,-0.00029551,3.1454,-0.6658,0.0,0.0,0.0,3.8112
20250225,-0.00229069,-0.00716102,0.06958,-0.00049826,,,,—,—,0.0,0.0,0.0,-0.00179243,2.9163,-0.7156,0.0,0.0,0.0,3.6319
20250226,0.00183637,-0.00451134,0.065395,-0.00029502,,,,—,—,0.0,0.0,0.0,0.00213139,3.0999,-0.7451,0.0,0.0,0.0,3.8451
20250227,-0.00174087,0.00190853,0.063129,0.00012048,,,,—,—,0.0,0.0,0.0,-0.00186135,2.9259,-0.7331,0.0,0.0,0.0,3.6589
20250228,-0.00881569,0.0006428,0.062998,4.05e-05,,,,—,—,0.0,0.0,0.0,-0.00885619,2.0443,-0.729,0.0,0.0,0.0,2.7733
20250303,-0.00111152,-0.00232671,0.065736,-0.00015295,,,,—,—,0.0,0.0,0.0,-0.00095857,1.9331,-0.7443,0.0,0.0,0.0,2.6775
20250304,0.00064862,-0.00988606,0.060943,-0.00060248,,,,—,—,0.0,0.0,0.0,0.0012511,1.998,-0.8046,0.0,0.0,0.0,2.8026
20250305,-0.00111203,-0.00659836,0.065699,-0.0004335,,,,—,—,0.0,0.0,0.0,-0.00067853,1.8868,-0.8479,0.0,0.0,0.0,2.7347
20250306,0.00872259,0.00171244,0.073153,0.00012527,,,,—,—,0.0,0.0,0.0,0.00859732,2.759,-0.8354,0.0,0.0,0.0,3.5945
20250307,-0.00138004,0.00152621,0.071423,0.00010901,,,,—,—,0.0,0.0,0.0,-0.00148905,2.621,-0.8245,0.0,0.0,0.0,3.4456
20250310,-0.00073678,0.00196553,0.069879,0.00013735,,,,—,—,0.0,0.0,0.0,-0.00087413,2.5474,-0.8108,0.0,0.0,0.0,3.3581
20250311,-0.00073732,-0.00579765,0.072977,-0.00042309,,,,—,—,0.0,0.0,0.0,-0.00031423,2.4736,-0.8531,0.0,0.0,0.0,3.3267
20250312,0.00156748,0.00147784,0.07366,0.00010886,,,,—,—,0.0,0.0,0.0,0.00145862,2.6304,-0.8422,0.0,0.0,0.0,3.4726
20250313,-0.00349938,0.00853487,0.052508,0.00044815,,,,—,—,0.0,0.0,0.0,-0.00394753,2.2804,-0.7974,0.0,0.0,0.0,3.0778
20250314,0.00804135,0.00731188,0.078457,0.00057367,,,,—,—,0.0,0.0,0.0,0.00746768,3.0846,-0.74,0.0,0.0,0.0,3.8246
20250317,0.00366798,-0.00459711,0.069794,-0.00032085,,,,—,—,0.0,0.0,0.0,0.00398883,3.4514,-0.7721,0.0,0.0,0.0,4.2235
20250318,0.00100426,-0.00192858,0.069322,-0.00013369,,,,—,—,0.0,0.0,0.0,0.00113795,3.5518,-0.7855,0.0,0.0,0.0,4.3373
20250319,0.00346841,-0.00621184,0.059098,-0.00036711,,,,—,—,0.0,0.0,0.0,0.00383552,3.8986,-0.8222,0.0,0.0,0.0,4.7208
20250320,-0.00618442,0.00578943,0.038806,0.00022466,,,,—,—,0.0,0.0,0.0,-0.00640908,3.2802,-0.7997,0.0,0.0,0.0,4.0799
20250321,-0.00292894,-0.00314293,0.04456,-0.00014005,,,,—,—,0.0,0.0,0.0,-0.00278889,2.9873,-0.8137,0.0,0.0,0.0,3.801
20250324,-0.00605765,0.00908572,0.01509,0.00013711,,,,—,—,0.0,0.0,0.0,-0.00619476,2.3815,-0.8,0.0,0.0,0.0,3.1816
20250325,-0.00157005,-0.0006917,0.016095,-1.113e-05,,,,—,—,0.0,0.0,0.0,-0.00155892,2.2245,-0.8011,0.0,0.0,0.0,3.0257
20250326,0.00443965,0.00243443,0.019992,4.867e-05,,,,—,—,0.0,0.0,0.0,0.00439098,2.6685,-0.7963,0.0,0.0,0.0,3.4648
20250327,-0.00092064,0.00209994,0.01882,3.952e-05,,,,—,—,0.0,0.0,0.0,-0.00096016,2.5764,-0.7923,0.0,0.0,0.0,3.3687
20250328,0.0042398,-0.00056083,0.017088,-9.58e-06,,,,—,—,0.0,0.0,0.0,0.00424938,3.0004,-0.7933,0.0,0.0,0.0,3.7937
20250331,0.00229447,-0.00720581,0.010568,-7.615e-05,,,,—,—,0.0,0.0,0.0,0.00237062,3.2299,-0.8009,0.0,0.0,0.0,4.0307
20250401,0.0044864,0.01241613,0.030218,0.00037519,,,,—,—,0.0,0.0,0.0,0.00411121,3.6785,-0.7634,0.0,0.0,0.0,4.4419
20250402,0.00556101,-0.00064208,0.027851,-1.788e-05,,,,—,—,0.0,0.0,0.0,0.00557889,4.2346,-0.7651,0.0,0.0,0.0,4.9998
20250403,-0.00190384,-0.0088906,0.036998,-0.00032893,,,,—,—,0.0,0.0,0.0,-0.00157491,4.0442,-0.798,0.0,0.0,0.0,4.8423
20250407,-0.00926446,-0.042725,0.121092,-0.00517367,,,,—,—,0.0,0.0,0.0,-0.00409079,3.1178,-1.3154,0.0,0.0,0.0,4.4332
20250408,0.00137536,-0.0174446,0.128397,-0.00223984,,,,—,—,0.0,0.0,0.0,0.0036152,3.2553,-1.5394,0.0,0.0,0.0,4.7947
20250409,0.00888011,-0.01566471,0.095876,-0.00150187,,,,—,—,0.0,0.0,0.0,0.01038198,4.1433,-1.6896,0.0,0.0,0.0,5.8329
20250410,-0.01188762,0.02664516,0.021928,0.00058427,,,,—,—,0.0,0.0,0.0,-0.01247189,2.9546,-1.6312,0.0,0.0,0.0,4.5857
20250411,9.23e-05,-0.00162171,0.021746,-3.527e-05,,,,—,—,0.0,0.0,0.0,0.00012757,2.9638,-1.6347,0.0,0.0,0.0,4.5985
20250414,-0.0032148,0.00410803,0.019013,7.81e-05,,,,—,—,0.0,0.0,0.0,-0.0032929,2.6423,-1.6269,0.0,0.0,0.0,4.2692
20250415,-0.00101268,-0.00104784,0.019461,-2.039e-05,,,,—,—,0.0,0.0,0.0,-0.00099229,2.541,-1.6289,0.0,0.0,0.0,4.17
20250416,0.00313478,-0.00697778,0.033752,-0.00023551,,,,—,—,0.0,0.0,0.0,0.00337029,2.8545,-1.6525,0.0,0.0,0.0,4.507
20250417,0.00422889,0.00850148,0.042972,0.00036533,,,,—,—,0.0,0.0,0.0,0.00386356,3.2774,-1.6159,0.0,0.0,0.0,4.8933
20250418,-0.00109829,-0.00049017,0.046138,-2.262e-05,,,,—,—,0.0,0.0,0.0,-0.00107567,3.1676,-1.6182,0.0,0.0,0.0,4.7858
20250421,0.001466,0.00789915,0.045336,0.00035812,,,,—,—,0.0,0.0,0.0,0.00110788,3.3142,-1.5824,0.0,0.0,0.0,4.8966
20250422,0.00658927,-0.00144432,0.043038,-6.216e-05,,,,—,—,0.0,0.0,0.0,0.00665143,3.9731,-1.5886,0.0,0.0,0.0,5.5617
20250423,-0.00063672,0.01209652,0.032252,0.00039014,,,,—,—,0.0,0.0,0.0,-0.00102686,3.9094,-1.5496,0.0,0.0,0.0,5.459
20250424,-0.00245612,-0.00496342,0.035114,-0.00017429,,,,—,—,0.0,0.0,0.0,-0.00228183,3.6638,-1.567,0.0,0.0,0.0,5.2308
20250425,0.00091174,-0.00058367,0.035142,-2.051e-05,,,,—,—,0.0,0.0,0.0,0.00093225,3.755,-1.5691,0.0,0.0,0.0,5.3241
20250428,-0.00163963,-0.00232585,0.031039,-7.219e-05,,,,—,—,0.0,0.0,0.0,-0.00156744,3.591,-1.5763,0.0,0.0,0.0,5.1673
20250429,0.00209901,-0.00759757,0.034145,-0.00025942,,,,—,—,0.0,0.0,0.0,0.00235843,3.8009,-1.6022,0.0,0.0,0.0,5.4032
20250430,0.00245881,-0.00869441,0.03128,-0.00027196,,,,—,—,0.0,0.0,0.0,0.00273077,4.0468,-1.6294,0.0,0.0,0.0,5.6762
20250506,0.0049959,-0.00712681,0.023215,-0.00016545,,,,—,—,0.0,0.0,0.0,0.00516135,4.5464,-1.646,0.0,0.0,0.0,6.1924
20250507,-0.00388657,0.00623248,0.013599,8.476e-05,,,,—,—,0.0,0.0,0.0,-0.00397133,4.1577,-1.6375,0.0,0.0,0.0,5.7952
20250508,-0.00027266,-0.0096489,0.005857,-5.651e-05,,,,—,—,0.0,0.0,0.0,-0.00021615,4.1305,-1.6431,0.0,0.0,0.0,5.7736
20250509,0.002179,0.00218935,0.006825,1.494e-05,,,,—,—,0.0,0.0,0.0,0.00216406,4.3484,-1.6416,0.0,0.0,0.0,5.99
20250512,-0.00751744,0.01543646,-0.0184,-0.00028403,,,,—,—,0.0,0.0,0.0,-0.00723341,3.5966,-1.67,0.0,0.0,0.0,5.2667
20250513,0.00218976,-0.00467605,-0.021979,0.00010278,,,,—,—,0.0,0.0,0.0,0.00208698,3.8156,-1.6598,0.0,0.0,0.0,5.4754
20250514,0.00054624,0.01664201,-0.041004,-0.00068239,,,,—,—,0.0,0.0,0.0,0.00122863,3.8702,-1.728,0.0,0.0,0.0,5.5982
20250515,0.00145682,-0.0153677,-0.041017,0.00063034,,,,—,—,0.0,0.0,0.0,0.00082648,4.0159,-1.665,0.0,0.0,0.0,5.6809
20250516,-0.00036343,-0.00619313,-0.040798,0.00025267,,,,—,—,0.0,0.0,0.0,-0.0006161,3.9796,-1.6397,0.0,0.0,0.0,5.6193
20250519,0.00072713,0.00133634,-0.038635,-5.163e-05,,,,—,—,0.0,0.0,0.0,0.00077876,4.0523,-1.6449,0.0,0.0,0.0,5.6972
20250520,-0.00063626,-0.00061995,-0.04313,2.674e-05,,,,—,—,0.0,0.0,0.0,-0.000663,3.9887,-1.6422,0.0,0.0,0.0,5.6309
20250521,-0.00090884,0.00831724,-0.059843,-0.00049773,,,,—,—,0.0,0.0,0.0,-0.00041111,3.8978,-1.692,0.0,0.0,0.0,5.5898
20250522,-0.00345768,-0.00863883,-0.049619,0.00042865,,,,—,—,0.0,0.0,0.0,-0.00388633,3.552,-1.6491,0.0,0.0,0.0,5.2011
20250523,-0.00155227,-0.00527907,-0.049654,0.00026213,,,,—,—,0.0,0.0,0.0,-0.0018144,3.3968,-1.6229,0.0,0.0,0.0,5.0197
20250526,-0.00219417,-0.00022401,-0.052881,1.185e-05,,,,—,—,0.0,0.0,0.0,-0.00220602,3.1774,-1.6217,0.0,0.0,0.0,4.7991
20250527,-0.00229111,-0.00349487,-0.050806,0.00017756,,,,—,—,0.0,0.0,0.0,-0.00246867,2.9483,-1.6039,0.0,0.0,0.0,4.5522
20250528,0.00349071,-0.00720233,-0.053366,0.00038436,,,,—,—,0.0,0.0,0.0,0.00310635,3.2973,-1.5655,0.0,0.0,0.0,4.8628
20250529,0.00521688,0.00773081,-0.041762,-0.00032286,,,,—,—,0.0,0.0,0.0,0.00553974,3.819,-1.5978,0.0,0.0,0.0,5.4168
20250530,-0.00437092,-0.01295387,-0.031584,0.00040913,,,,—,—,0.0,0.0,0.0,-0.00478005,3.3819,-1.5569,0.0,0.0,0.0,4.9388
20250603,0.00045769,0.00513677,-0.030922,-0.00015884,,,,—,—,0.0,0.0,0.0,0.00061653,3.4277,-1.5728,0.0,0.0,0.0,5.0005
20250604,-0.00064027,0.00886296,-0.033403,-0.00029605,,,,—,—,0.0,0.0,0.0,-0.00034422,3.3637,-1.6024,0.0,0.0,0.0,4.966
20250605,0.0008236,-0.00464803,-0.037538,0.00017448,,,,—,—,0.0,0.0,0.0,0.00064912,3.446,-1.5849,0.0,0.0,0.0,5.031
20250606,-0.00392991,0.0087418,-0.042943,-0.0003754,,,,—,—,0.0,0.0,0.0,-0.00355451,3.053,-1.6225,0.0,0.0,0.0,4.6755
20250609,0.00559678,0.00274935,-0.039243,-0.00010789,,,,—,—,0.0,0.0,0.0,0.00570467,3.6127,-1.6333,0.0,0.0,0.0,5.246
20250610,-0.00428838,0.00055545,-0.041128,-2.284e-05,,,,—,—,0.0,0.0,0.0,-0.00426554,3.1839,-1.6355,0.0,0.0,0.0,4.8194
20250611,-0.00054975,0.00173937,-0.041917,-7.291e-05,,,,—,—,0.0,0.0,0.0,-0.00047684,3.1289,-1.6428,0.0,0.0,0.0,4.7717
20250612,0.00100891,0.00209402,-0.036273,-7.596e-05,,,,—,—,0.0,0.0,0.0,0.00108487,3.2298,-1.6504,0.0,0.0,0.0,4.8802
20250613,0.00036633,0.01409937,-0.045362,-0.00063957,,,,—,—,0.0,0.0,0.0,0.0010059,3.2664,-1.7144,0.0,0.0,0.0,4.9808
20250616,0.00228922,0.01015049,-0.038159,-0.00038733,,,,—,—,0.0,0.0,0.0,0.00267655,3.4953,-1.7531,0.0,0.0,0.0,5.2485
20250617,0.00164412,-0.00406356,-0.038825,0.00015777,,,,—,—,0.0,0.0,0.0,0.00148635,3.6598,-1.7373,0.0,0.0,0.0,5.3971
20250618,0.00018238,0.01467304,-0.033882,-0.00049715,,,,—,—,0.0,0.0,0.0,0.00067953,3.678,-1.7871,0.0,0.0,0.0,5.4651
20250619,-0.00191513,0.00525293,-0.029724,-0.00015614,,,,—,—,0.0,0.0,0.0,-0.00175899,3.4865,-1.8027,0.0,0.0,0.0,5.2892
20250620,0.00091349,-0.00316361,-0.031605,9.999e-05,,,,—,—,0.0,0.0,0.0,0.0008135,3.5778,-1.7927,0.0,0.0,0.0,5.3705
20250623,-0.00127771,0.00316665,-0.023464,-7.43e-05,,,,—,—,0.0,0.0,0.0,-0.00120341,3.4501,-1.8001,0.0,0.0,0.0,5.2502
20250624,-0.00493559,-0.02374567,-0.003917,9.3e-05,,,,—,—,0.0,0.0,0.0,-0.00502859,2.9565,-1.7908,0.0,0.0,0.0,4.7473
20250625,-0.00440906,-0.00208038,-0.004944,1.029e-05,,,,—,—,0.0,0.0,0.0,-0.00441935,2.5156,-1.7898,0.0,0.0,0.0,4.3054
20250626,0.00018448,0.00118513,-0.004519,-5.36e-06,,,,—,—,0.0,0.0,0.0,0.00018984,2.534,-1.7903,0.0,0.0,0.0,4.3244
20250627,0.00848664,0.0015691,-0.00177,-2.78e-06,,,,—,—,0.0,0.0,0.0,0.00848942,3.3827,-1.7906,0.0,0.0,0.0,5.1733
20250630,-0.00073159,-0.00211165,0.000636,-1.34e-06,,,,—,—,0.0,0.0,0.0,-0.00073025,3.3095,-1.7907,0.0,0.0,0.0,5.1003
20250701,-0.00137322,0.00118949,-0.008821,-1.049e-05,,,,—,—,0.0,0.0,0.0,-0.00136273,3.1722,-1.7918,0.0,0.0,0.0,4.964
20250702,0.00146627,0.00720097,-0.006857,-4.938e-05,,,,—,—,0.0,0.0,0.0,0.00151565,3.3189,-1.7967,0.0,0.0,0.0,5.1156
20250703,0.00466833,0.00509156,-0.005147,-2.62e-05,,,,—,—,0.0,0.0,0.0,0.00469453,3.7857,-1.7993,0.0,0.0,0.0,5.585
20250704,-0.00154888,-0.00343403,-0.090271,0.00030999,,,,—,—,0.0,0.0,0.0,-0.00185887,3.6308,-1.7683,0.0,0.0,0.0,5.3991
20250707,-0.00109468,-0.00466401,-0.08963,0.00041804,,,,—,—,0.0,0.0,0.0,-0.00151272,3.5213,-1.7265,0.0,0.0,0.0,5.2479
20250708,0.00328765,0.00565132,-0.05609,-0.00031698,,,,—,—,0.0,0.0,0.0,0.00360463,3.8501,-1.7582,0.0,0.0,0.0,5.6083
20250709,0.00063765,0.00054324,0.021996,1.195e-05,,,,—,—,0.0,0.0,0.0,0.0006257,3.9139,-1.757,0.0,0.0,0.0,5.6709
20250710,0.00282043,0.01078916,0.028864,0.00031142,,,,—,—,0.0,0.0,0.0,0.00250901,4.1959,-1.7259,0.0,0.0,0.0,5.9218
20250711,0.00099829,-0.0021346,0.03174,-6.775e-05,,,,—,—,0.0,0.0,0.0,0.00106604,4.2957,-1.7327,0.0,0.0,0.0,6.0284
20250714,0.00217488,0.00650571,0.033927,0.00022072,,,,—,—,0.0,0.0,0.0,0.00195416,4.5132,-1.7106,0.0,0.0,0.0,6.2238
20250715,0.00198931,-0.00602545,0.036921,-0.00022246,,,,—,—,0.0,0.0,0.0,0.00221177,4.7122,-1.7328,0.0,0.0,0.0,6.445
20250716,-0.00189464,0.00104406,0.028447,2.97e-05,,,,—,—,0.0,0.0,0.0,-0.00192434,4.5227,-1.7299,0.0,0.0,0.0,6.2526
20250717,0.0018083,0.00401274,0.029487,0.00011832,,,,—,—,0.0,0.0,0.0,0.00168998,4.7035,-1.718,0.0,0.0,0.0,6.4216
20250718,0.00496433,0.00776113,0.036498,0.00028327,,,,—,—,0.0,0.0,0.0,0.00468106,5.2,-1.6897,0.0,0.0,0.0,6.8897
20250721,0.00467086,0.01222028,0.052602,0.00064281,,,,—,—,0.0,0.0,0.0,0.00402805,5.667,-1.6254,0.0,0.0,0.0,7.2925
20250722,-0.00429065,0.0075126,0.048123,0.00036153,,,,—,—,0.0,0.0,0.0,-0.00465218,5.238,-1.5893,0.0,0.0,0.0,6.8272
20250723,0.00107728,-0.00355902,0.042979,-0.00015296,,,,—,—,0.0,0.0,0.0,0.00123024,5.3457,-1.6046,0.0,0.0,0.0,6.9503
20250724,-0.00367818,0.00669274,0.036522,0.00024443,,,,—,—,0.0,0.0,0.0,-0.00392261,4.9779,-1.5801,0.0,0.0,0.0,6.558
20250725,-0.00594149,0.00424811,0.029325,0.00012458,,,,—,—,0.0,0.0,0.0,-0.00606607,4.3837,-1.5677,0.0,0.0,0.0,5.9514
20250728,0.00135867,-0.01975927,0.024514,-0.00048439,,,,—,—,0.0,0.0,0.0,0.00184306,4.5196,-1.6161,0.0,0.0,0.0,6.1357
20250729,-0.00397958,0.00652763,0.025016,0.00016329,,,,—,—,0.0,0.0,0.0,-0.00414287,4.1216,-1.5998,0.0,0.0,0.0,5.7214
20250730,0.00136225,0.00320995,0.036971,0.00011868,,,,—,—,0.0,0.0,0.0,0.00124357,4.2579,-1.5879,0.0,0.0,0.0,5.8458
20250731,-0.00725384,-0.01269464,0.065036,-0.00082561,,,,—,—,0.0,0.0,0.0,-0.00642823,3.5325,-1.6705,0.0,0.0,0.0,5.203
20250801,-0.00274067,-0.00189877,0.068315,-0.00012972,,,,—,—,0.0,0.0,0.0,-0.00261095,3.2584,-1.6834,0.0,0.0,0.0,4.9419
20250804,-0.00027424,-0.00222422,0.067543,-0.00015023,,,,—,—,0.0,0.0,0.0,-0.00012401,3.231,-1.6985,0.0,0.0,0.0,4.9295
20250805,0.00513055,0.0038746,0.104618,0.00040535,,,,—,—,0.0,0.0,0.0,0.0047252,3.744,-1.6579,0.0,0.0,0.0,5.402
20250806,0.00218717,0.00020205,0.108339,2.189e-05,,20.73,100.0,—,高波动,0.0,0.00023493,0.00023493,0.00193035,3.9628,-1.6557,0.0,0.0235,0.0235,5.595
20250807,-0.00036373,-0.00117362,0.113988,-0.00013378,,20.38,50.0,—,中高波动,0.0,0.00019766,0.00019766,-0.00042761,3.9264,-1.6691,0.0,0.0433,0.0433,5.5523
20250808,0.00154691,-0.00429256,0.127149,-0.00054579,,20.46,66.7,—,中高波动,0.0,0.00020618,0.00020618,0.00188652,4.0811,-1.7237,0.0,0.0639,0.0639,5.7409
20250811,0.00217982,0.00485998,0.130338,0.00063344,,20.5,75.0,—,中高波动,0.0,0.00021044,0.00021044,0.00133594,4.2991,-1.6603,0.0,0.0849,0.0849,5.8745
20250812,0.0026287,0.00820968,0.133906,0.00109933,,20.48,60.0,—,中高波动,0.0,0.00020831,0.00020831,0.00132106,4.5619,-1.5504,0.0,0.1058,0.1058,6.0066
20250813,0.00497292,-0.00018582,0.131684,-2.447e-05,,21.09,100.0,—,高波动,0.0,0.00027327,0.00027327,0.00472412,5.0592,-1.5529,0.0,0.1331,0.1331,6.479
20250814,-0.00126016,-0.00812869,0.137057,-0.00111409,,21.36,100.0,—,高波动,0.0,0.00030203,0.00030203,-0.0004481,4.9332,-1.6643,0.0,0.1633,0.1633,6.4342
20250815,0.0019822,0.0005,0.129691,6.485e-05,,21.56,100.0,—,高波动,0.0,0.00032333,0.00032333,0.00159402,5.1314,-1.6578,0.0,0.1956,0.1956,6.5936
20250818,0.00260696,-0.00154066,0.125484,-0.00019333,,20.47,33.3,—,中低波动,0.0,0.00020724,0.00020724,0.00259305,5.3921,-1.6771,0.0,0.2163,0.2163,6.8529
20250819,-0.00188302,-0.00341679,0.126909,-0.00043362,,20.03,10.0,—,低波动,0.0,0.00016038,0.00016038,-0.00160978,5.2038,-1.7205,0.0,0.2324,0.2324,6.6919
20250820,0.00404211,-0.00466479,0.116157,-0.00054185,,20.59,63.6,—,中高波动,0.0,0.00022002,0.00022002,0.00436394,5.608,-1.7747,0.0,0.2544,0.2544,7.1283
20250821,-0.00071562,0.00317486,0.12595,0.00039987,,20.05,16.7,—,低波动,0.0,0.00016251,0.00016251,-0.001278,5.5365,-1.7347,0.0,0.2706,0.2706,7.0005
20250822,0.00519291,0.00209135,0.118762,0.00024837,,19.45,7.7,—,低波动,0.0,9.862e-05,9.862e-05,0.00484592,6.0558,-1.7098,0.0,0.2805,0.2805,7.4851
20250825,-0.00115817,0.00773018,0.098309,0.00075995,,17.46,7.1,—,低波动,0.0,-0.00011332,-0.00011332,-0.0018048,5.9399,-1.6338,0.0,0.2692,0.2692,7.3046
20250826,0.00115952,-0.00414098,0.096427,-0.0003993,,17.09,6.7,—,低波动,0.0,-0.00015272,-0.00015272,0.00171154,6.0559,-1.6738,0.0,0.2539,0.2539,7.4758
